winery,wine_name,year,price,score,country,wine_type,pairing,picture,price_quality,Estilo de vino,Contenido de alcohol,country_España,country_Francia,country_Italia,country_Other,flavour_cítrico,flavour_especias,flavour_floral,flavour_fruta negra,flavour_fruta seca,flavour_frutos de árbol,flavour_frutos rojos,flavour_microbio,flavour_roble,flavour_terroso,flavour_tropical,flavour_vegetal
San Marzano,62 Anniversario Primitivo di Manduria Riserva,2019,22.95,4.3,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/5fdHiGBzSgGOgY_9A8WFOw_pb_x600.png,3,Primitivo (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Cantine Luciani,Brunello di Montalcino,2019,27.95,4.3,Italia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/Uz7grLTAQc-BVEhKY0yO3g_pb_x600.png,4,Brunello (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Luccarelli,Old Vines Primitivo di Manduria,2021,19.95,4.3,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/R87ldumQSaCA3bigcT2Y_w_pb_x600.png,3,Primitivo (Italia),15.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Tenuta Atzei,Aru Monica Isola dei Nuraghi,2021,21.95,4.3,Italia,2,"Ternera, Cordero, Pasta",//images.vivino.com/thumbs/lFrJnudVTpuZMn_UVkd8_g_pb_x600.png,5,Sur Italia Tinto,14.5,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Château du Grand Bos,Graves Rouge,2020,18.95,4.3,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/Ci68lD4WTSmRJFJF5jBLCg_pb_x600.png,6,Burdeos Graves Tinto (Francia),13.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bindi Sergardi,Mocenni Particella 91,2020,49.95,4.3,Italia,2,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada",//images.vivino.com/thumbs/ZjQ76IqoT_mgqAkU4Izw6A_pb_x600.png,5,Toscana Tinto (Italia),14.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
St. Michael-Eppan,Sanct Valentin Gewürztraminer,2023,29.95,4.3,Italia,1,"Cerdo, Aves, Pescado azul, Comida picante, Queso tierno y cremoso",//images.vivino.com/thumbs/2cMVGv5JRCW1tm7b9J4uOg_pb_x600.png,5,Italia Norte Gewürztraminer,14.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Guerrieri,Guerriero del Mare,2022,25.95,4.3,Italia,1,"Vegetariana, Pasta, Aperitivos y tentempiés, Pescado blanco, Carne adobada",//images.vivino.com/thumbs/DPTu_OHCTL2zwFQtiVNbrA_pb_x600.png,5,Centro Italia Blanco,13.5,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Château Chantelune,Margaux,2021,32.95,4.3,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/m0AioaOWQAm-SNOm9sRfeQ_pb_x600.png,5,Burdeos Margaux (Francia),13.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
DAOU,Reserve Cabernet Sauvignon,2021,54.95,4.3,Estados Unidos,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/4kS-NRPdTXeaovChso4BGw_pb_x600.png,4,Californian Paso Robles Cabernet Sauvignon Red,14.9,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Guerrieri,Guerriero della Terra,2021,26.95,4.3,Italia,2,"Ternera, Cordero, Ternera lechal, Pasta, Ciervo, Carne de venado, Carne adobada",//images.vivino.com/thumbs/V-yyiAc-QaCz1cWr0zV_fQ_pb_x600.png,5,Italian Red,15.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Quinta do Pégo,Douro Vinhas Velhas,2016,54.95,4.3,Portugal,2,"Ternera, Cordero, Pasta, Ciervo, Carne de venado",//images.vivino.com/thumbs/Yuq1qfYESWSx14XHkR0VIQ_pb_x600.png,4,Douro Tinto (Portugal),15.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
