winery,wine_name,year,price,score,country,wine_type,pairing,picture,price_quality,Estilo de vino,Contenido de alcohol,country_España,country_Francia,country_Italia,country_Other,flavour_cítrico,flavour_especias,flavour_floral,flavour_fruta negra,flavour_fruta seca,flavour_frutos de árbol,flavour_frutos rojos,flavour_microbio,flavour_roble,flavour_terroso,flavour_tropical,flavour_vegetal
Casa Bardonecca,Oak Collection Susumaniello,2022,12.95,4.0,Italia,2,"Ternera, Cordero, Pasta",//images.vivino.com/thumbs/Gc7gIHW_QByhndBb8NYD7A_pb_x600.png,4,Sur Italia Tinto,14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Domaine Grains d'Estuaire,Grains de Cocotte Chardonnay - Sauvignon,2023,10.95,4.0,Francia,1,"Cerdo, Marisco, Vegetariana, Aves, Aperitivos y tentempiés, Pescado blanco",//images.vivino.com/thumbs/Mm3P0AtJTBudn3n68tuF9g_pb_x600.png,5,French Atlantique White,11.5,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Château Fargueirol,Châteauneuf-du-Pape Blanc,2023,23.95,4.0,Francia,1,"Cerdo, Aves, Pescado azul, Queso curado, Carne adobada",//images.vivino.com/thumbs/g8Wjq_yvQAy41wUUczSP3Q_pb_x600.png,4,Ródano Sur Blanco (Francia),13.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Tinazzi,Tenuta Valleselle Arnasi Pinot Grigio,2023,9.95,4.0,Italia,1,"Marisco, Vegetariana, Champiñones, Aperitivo",//images.vivino.com/thumbs/ob-qmPlMTimL3a-O7FROcg_pb_x600.png,4,Norte Italia Pinot Grigio,12.5,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Château Fargueirol,Jean XXII Châteauneuf-du-Pape,2022,19.99,4.0,Francia,2,"Cordero, Cerdo, Aves",//images.vivino.com/thumbs/Y37XgC9WSY2J2d3QnWzpRQ_pb_x600.png,4,Ródano Sur Châteauneuf-du-Pape Tinto (Francia),14.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Château La Bessane,Margaux,2013,21.95,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/t61FjP97R-SOyDIHfV_OPg_pb_x600.png,4,Burdeos Margaux (Francia),13.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
SalvaTerra,Legacy Valpolicella Ripasso Superiore,2019,14.95,4.0,Italia,2,"Ternera, Ternera lechal, Ciervo, Carne de venado",//images.vivino.com/thumbs/p7xQ1x9URmCDxIKadThq4Q_pb_x600.png,4,Ripasso (Italia),14.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Piccini,Solco da Uve Leggermente Appassite,2022,8.95,4.0,Italia,2,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada",//images.vivino.com/thumbs/zrT69XUgTuqYm5lOG2oBFg_pb_x600.png,5,Toscana Tinto (Italia),13.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Studier,Sommersemester,2023,11.95,4.0,Alemania,1,"Cerdo, Vegetariana, Aves, Aperitivos y tentempiés, Queso tierno y cremoso, Queso de leche de cabra",//images.vivino.com/thumbs/YUjLgHN9S9uzA-cCdo0mPw_pb_x600.png,4,German White,12.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Pā Road,Sauvignon Blanc,2023,11.95,4.0,New Zealand,1,"Marisco, Vegetariana, Queso de leche de cabra",//images.vivino.com/thumbs/Kx1h_Wb2TmGMNNdbxqBlNQ_pb_x600.png,4,Sauvignon Blanc (Nueva Zelanda),13.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Marques del Atrio,Edición Limitada Crianza,2019,13.95,4.0,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/X3dpGyJ4R32Eyq0ehieAGw_pb_x600.png,4,Rioja Tinto (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Château du Bergey,Cuvée Tradition Fronsac,2022,10.95,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/WD_TQuL0SXidvIjbnEjq-g_pb_x600.png,5,Burdeos Libournais Tinto (Francia),14.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Terrescure,Bernardeschi Governo,2020,10.95,4.0,Italia,2,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada",//images.vivino.com/thumbs/vYxP9RF_SuShILXVTuwSCQ_pb_x600.png,5,Toscana Tinto (Italia),13.5,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Studier,Sauvignon Blanc Trocken,2022,12.95,4.0,Alemania,1,"Marisco, Vegetariana, Queso de leche de cabra",//images.vivino.com/thumbs/dpLbDzGCSJyQN790XqW6Bw_pb_x600.png,4,Sauvignon Blanc (Alemania),12.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Ponte Lungo,Curioso,2022,9.95,4.0,Italia,2,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada",//images.vivino.com/thumbs/F9u_Z86ZTCq6JRmuwKGUcA_pb_x600.png,5,Toscana Tinto (Italia),14.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Tempel Wines,Oogwink Shiraz,2021,32.0,4.0,Sudáfrica,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/PeAOF4sWT763pgwLEKopTQ_pb_x600.png,3,Syrah (Sudáfrica),13.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Guerrieri,Celso Bianchello del Metauro Superiore,2023,12.95,4.0,Italia,1,"Vegetariana, Pasta, Aperitivos y tentempiés, Pescado blanco, Carne adobada",//images.vivino.com/thumbs/Q0FEjRqlSp6jUGzuDyclVg_pb_x600.png,4,Centro Italia Blanco,12.5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Château La Gorce,Médoc,2018,13.95,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/34GjEYCgTBiRwkexOeYQbQ_pb_x600.png,5,Burdeos Médoc (Francia),14.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Château Yon-Figeac,Les Roches de Yon Figeac Saint-Émilion Grand Cru,2017,19.95,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/JtMJEQmZQkK-sOFNW4KRMw_pb_x600.png,4,Burdeos Saint-Emilion (Francia),13.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Quinta do Pégo,Douro Reserva Cerro Do Santo,2017,11.95,4.0,Portugal,2,"Ternera, Cordero, Pasta, Ciervo, Carne de venado",//images.vivino.com/thumbs/Ui0GTxdBQOeMboNHceY2yA_pb_x600.png,4,Douro Tinto (Portugal),13.5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Geografico,La Pevera Toscana,2020,20.99,4.0,Italia,2,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada",//images.vivino.com/thumbs/zduOPVcvQPeG6uN7eSuzYg_pb_x600.png,4,Toscana Tinto (Italia),14.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Santa Giulia,Quarto Giro Toscana Rosso,2020,13.95,4.0,Italia,2,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada",//images.vivino.com/thumbs/_R9ji_AdR1m9xH-_dw9_pw_pb_x600.png,5,Toscana Tinto (Italia),14.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Bodegas Pedro Escudero,Finca Valdelagunde Cuveé Especial,2023,10.95,4.0,España,1,"Cerdo, Marisco, Vegetariana, Carne adobada",//images.vivino.com/thumbs/vfnbbSVoSLOrpV0SnAbBNA_pb_x600.png,4,Verdejo (España),13.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Torre Mora,Scalunera Etna Bianco,2023,11.99,4.0,Italia,1,"Marisco, Vegetariana, Aperitivos y tentempiés",//images.vivino.com/thumbs/YLZEYDKhQ1e5Rtip5L8KVA_pb_x600.png,5,Sur Italia Blanco,12.5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Yacochuya,San Pedro de Yacochuya,2020,15.95,4.0,Argentina,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/ZM883eTDRsCiEvsvyfH-cg_pb_x600.png,4,Cabernet Sauvignon - Malbec (Argentina),14.5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Asymmetric,Sauvignon Blanc,2023,9.95,4.0,New Zealand,1,"Marisco, Vegetariana, Queso de leche de cabra",//images.vivino.com/thumbs/xcwvgABwR1KFYufulOO5ug_pb_x600.png,3,Sauvignon Blanc (Nueva Zelanda),12.5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Costers del Sió,Siós Cau del Gat,2022,12.95,4.0,España,2,"Ternera, Cordero, Pasta, Ciervo, Carne de venado",//images.vivino.com/thumbs/XhduufMHTjWlvxJkhEcoOw_pb_x600.png,5,España Rhône Blend Tinto,14.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Château Petit Boyer,Séduction Blaye - Côtes de Bordeaux,2023,9.95,4.0,Francia,1,"Cerdo, Vegetariana, Aves, Aperitivos y tentempiés, Pescado blanco",//images.vivino.com/thumbs/9Q1mEDgkSlCqBbRX6w7Ocw_pb_x600.png,6,Burdeos Blanco (Francia),14.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Bindi Sergardi,Ser Gardo Chianti Classico,2021,17.5,4.0,Italia,2,"Ternera, Ternera lechal, Pasta, Carne adobada",//images.vivino.com/thumbs/m5KnZc_rTGCYdATtpAAINw_pb_x600.png,5,Italian Chianti Classico Red,14.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Domaine Lafage,Narassa,2022,13.95,4.0,Francia,2,"Ternera, Ternera lechal, Pasta",//images.vivino.com/thumbs/l_gZVgD_TJegcuM-k8k8oA_pb_x600.png,4,Languedoc-Roussillon Tinto (Francia),15.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
DAOU,Pessimist Red Blend,2021,25.95,4.0,Estados Unidos,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/NRFBpP2CR7-Rk_AJBcxWng_pb_x600.png,3,California Tinto (USA),14.5,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Domaine Lafage,Grenache 3 (Au Cube),2020,13.95,4.0,Francia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/DAsZFGLORKCzf8cLyzs_Lg_pb_x600.png,4,Languedoc-Roussillon Garnacha (Francia),15.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Schmitges,Grauburgunder Trocken,2023,11.95,4.0,Alemania,1,"Cerdo, Comida picante, Champiñones, Carne adobada",//images.vivino.com/thumbs/4BtQvZajQ-mofNdgIed3uw_pb_x600.png,5,Grauburgunder (Alemania),12.5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Pliniana,Juvenis Primitivo di Manduria,2022,11.9,4.0,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/pHPrlOqNRyaVWmUM7PLDkg_pb_x600.png,3,Primitivo (Italia),14.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Château Yon-Figeac,Les Roches de Yon Figeac Saint-Émilion Grand Cru,2019,20.95,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/JtMJEQmZQkK-sOFNW4KRMw_pb_x600.png,4,Burdeos Saint-Emilion (Francia),14.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Château Les Grands Chênes,Médoc,2018,19.95,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/7nsiPIiAQB686Ui6syI0Pg_pb_x600.png,5,Burdeos Médoc (Francia),14.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Schmitges,Grauschiefer Riesling Trocken,2023,11.95,4.0,Alemania,1,"Cerdo, Marisco, Aves, Comida picante, Carne adobada",//images.vivino.com/thumbs/rkCg7cTURZm6b50G7ayVVA_pb_x600.png,4,Riesling (Alemania),12.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Château Landereau,Entre-deux-Mers,2023,11.5,4.0,Francia,1,"Cerdo, Vegetariana, Aves, Aperitivos y tentempiés, Pescado blanco",//images.vivino.com/thumbs/vUoPQ24XRauB-1Bw_wgXvQ_pb_x600.png,4,Burdeos Blanco (Francia),13.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Sauvion,Les Eglantines Sauvignon Touraine,2023,9.95,4.0,Francia,1,"Vegetariana, Pescado blanco, Queso de leche de cabra",//images.vivino.com/thumbs/mxK_YWojSoqx9k5n2WeDng_pb_x600.png,5,Loire Touraine Sauvignon Blanc,11.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Domaine de la Creuze Noire,Cuvée Terroir Saint-Véran,2023,18.95,4.0,Francia,1,"Vegetariana, Pasta, Carne adobada",//images.vivino.com/thumbs/DTIIGHohTiCxzbWzPhp3mg_pb_x600.png,4,Borgoña Macônnais Blanco,13.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Piccini,Brunello di Montalcino,2019,21.95,4.0,Italia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/AKzKNWbpRl2Z39KVT4g5Zw_pb_x600.png,4,Brunello (Italia),14.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodegas Piqueras,El Abuelo de Piqueras Reserva,2020,8.95,4.0,España,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/gSmm6IU-QPG9wrUA4KdNgQ_pb_x600.png,5,Tinto (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Domaine du Grand Ormeau,Lalande de Pomerol,2019,17.95,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/CKE6e3_7Qzy2vEoqRhEctg_pb_x600.png,4,Burdeos Libournais Tinto (Francia),14.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Château Tayac,Margaux,2017,24.95,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/GdCYpa7gRuSvP09cQ_QmDg_pb_x600.png,3,Burdeos Margaux (Francia),13.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Allendorf,Berg Roseneck Riesling Trocken,2020,28.95,4.0,Alemania,1,"Cerdo, Marisco, Aves, Comida picante, Carne adobada",//images.vivino.com/thumbs/YCKyzWq4QvaAihRTMRezJQ_pb_x600.png,4,Riesling (Alemania),12.5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Castello di Cigognola,Barberasso Barbera,2019,9.95,4.0,Italia,2,"Ternera lechal, Cerdo, Aves, Pasta, Ciervo, Carne de venado",//images.vivino.com/thumbs/q72wIOYfRXKhriZKyymYiA_pb_x600.png,5,Barbera (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Ponte Lungo,Curioso Grand Edizione,2019,10.95,4.0,Italia,2,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada",//images.vivino.com/thumbs/ZYitvrESSj-c-rfdH3clqQ_pb_x600.png,5,Toscana Tinto (Italia),14.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Château Lynch-Bages,Echo de Lynch-Bages Pauillac,2019,49.95,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/W1u2QbAgQh-X-gHQUQITHQ_pb_x600.png,3,Burdeos Pauillac (Francia),14.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Bread & Butter,Pinot Noir,2022,14.95,4.0,Estados Unidos,2,"Ternera, Ternera lechal, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/3mLRuC0YSMq7h5aBf8Yz6g_pb_x600.png,5,California Pinot Noir (USA),13.5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Planeta,Burdese,2018,19.95,4.0,Italia,2,"Ternera, Cordero, Pasta",//images.vivino.com/thumbs/ebpS9Bg9Tm2JPwcfcgFpEg_pb_x600.png,2,Sur Italia Tinto,13.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Cantine Paradiso,1954 Primitivo Puglia,2022,15.95,4.0,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/H59alKVoSMOSYh6e5mkQWQ_pb_x600.png,3,Primitivo (Italia),15.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Castellare,Chianti Classico,2022,17.95,4.0,Italia,2,"Ternera, Ternera lechal, Pasta, Carne adobada",//images.vivino.com/thumbs/yG7-SJ7JSYuzu3SLZwOcWA_pb_x600.png,4,Italian Chianti Classico Red,13.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Epifanio Rivera,Erial Tinto Fino,2022,12.4,4.0,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/KIZkDKsVS9mp9aJBTOJcNw_pb_x600.png,4,Ribera del Duero Tinto (España),13.91,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodegas Valdelana,AGNVS Tempranillo,2021,11.5,4.0,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/Q2IksG7CQBm1g8_kIfdDEA_pb_x600.png,5,Rioja Tinto (España),13.91,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Habla,Silencio,2022,10.95,4.0,España,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/cn6sFxXkR-Chizwzn8Ol-Q_pb_x600.png,5,Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Antídoto,Tinto,2023,16.5,4.0,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/Ksoj77QlQpGaZGyfciK21w_pb_x600.png,4,Ribera del Duero Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Borsao Bodegas,Tres Picos Garnacha,2021,12.67,4.0,España,2,"Ternera, Cordero, Aves, Pasta, Ciervo, Carne de venado",//images.vivino.com/thumbs/c1OqPtb3R96ddBdN4Ti6Bg_pb_x600.png,4,Garnacha (España),15.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Akarua,Pinot Noir,2022,30.16,4.0,New Zealand,2,"Ternera, Ternera lechal, Ciervo, Carne de venado, Champiñones",//images.vivino.com/thumbs/_O-YzJF9SyuwypaeDZ8FEA_pb_x600.png,4,New Zealand Central Otago Pinot Noir Red,13.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Flechas de los Andes,Gran Malbec,2020,20.64,4.0,Argentina,2,"Ternera, Cordero",//images.vivino.com/thumbs/pjNKN4C0SnS2kaOsY0V8rw_pb_x600.png,3,Argentinian Uco Valley Malbec Red,14.5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Chateau de Malengin,Eve Montagne-Saint-Émilion,2021,27.83,4.0,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/dyTylyJmTHGL-WeEBxBdAA_pb_x600.png,4,Burdeos Saint-Emilion (Francia),14.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Bodegas Luis Perez,Garum,2022,11.5,4.0,España,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/1K_Kqc-CTYO71LgEiAzgPw_pb_x600.png,5,Tinto (España),13.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Monte Real,Reserva de Familia,2019,11.5,4.0,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/DG0voo6DRp-jMGGuFpj6rg_pb_x600.png,5,Rioja Tinto (España),13.91,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Guelbenzu,Lautus,2016,25.0,4.0,España,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/LtcgLd5QTKm0TvKa_AFhTg_pb_x600.png,3,Tinto (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodegas Lleiroso,LL Reserva,2019,20.0,4.0,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/3PhVDy9vRu-cMe_PkgzUcA_pb_x600.png,3,Ribera del Duero Tinto (España),13.91,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Nivarius,Edición Limitada,2019,12.8,4.0,España,1,"Marisco, Aperitivos y tentempiés, Pescado blanco, Carne adobada",//images.vivino.com/thumbs/dZ6dJtrgTniPK-6x534Kbw_pb_x600.png,5,Rioja Blanco (España),13.5,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Legón,Ribera del Duero Premium,2019,13.95,4.0,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/kGDZlCM7QWaCeP7qlM1SfQ_pb_x600.png,4,Ribera del Duero Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodegas Vilano,Black Edition,2022,8.8,4.0,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/mo-QmfuTTp-55MYE4ekLfw_pb_x600.png,5,Ribera del Duero Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Castillo de Aresan,Bourbon Barrel Aged Cabernet Sauvignon,2021,11.9,4.0,España,2,"Ternera, Cordero, Aves",//images.vivino.com/thumbs/gVsVXBS0Qs6VSCmMc45Ptg_pb_x600.png,4,Cabernet Sauvignon (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Legón,Ribera del Duero Crianza,2020,10.9,4.0,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/uuegLkccTKySCz2SwZkgJA_pb_x600.png,5,Ribera del Duero Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodegas Castelo de Medina,Castelo de Medina Sauvignon Blanc,2023,8.7,4.0,España,1,"Marisco, Vegetariana, Queso de leche de cabra",//images.vivino.com/thumbs/rH39bIA3TUiVSc0Nl6kUfw_pb_x600.png,4,Sauvignon Blanc (España),13.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Bodega Contador (Benjamín Romeo),Predicador Rioja,2022,23.0,4.0,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/o41VHHejSA2pt87Df9dowg_pb_x600.png,3,Rioja Tinto (España),13.91,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Belondrade,Quinta Apolonia,2023,17.5,4.0,España,1,"Cerdo, Marisco, Vegetariana, Carne adobada",//images.vivino.com/thumbs/357__3gsTbCGKVOD4rIELg_pb_x600.png,5,Verdejo (España),13.5,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Condado de Oriza,Gran Reserva Ribera del Duero,2014,20.95,4.0,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/9sRQlRDNRC2bLgSc99R3CA_pb_x600.png,3,Ribera del Duero Tinto (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Pagos del Rey,Pulpo Sauvignon Blanc,2023,7.99,4.0,New Zealand,1,"Marisco, Vegetariana, Queso de leche de cabra",//images.vivino.com/thumbs/p5OJLwxVQa-wcK2GDz8Ykw_pb_x600.png,1,Sauvignon Blanc (Nueva Zelanda),12.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Bodegas Argenceres,Lágrima Reserva Selecto Malbec,2020,19.9,4.0,Argentina,2,"Ternera, Cordero, Cerdo",//images.vivino.com/thumbs/u7zqtCftSYCdW4zqz3sA4g_pb_x600.png,2,Argentinian Mendoza Malbec Red,13.91,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Pago Aylés,Senda de Leñadores,2020,12.9,4.0,España,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/NWK5wo98TPqR96VMxE-K1A_pb_x600.png,4,Tinto (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Emilio Moro,Finca Resalso,2023,9.5,4.0,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/WSVhRMoUSAmU6yYvBr1Emw_pb_x600.png,5,Ribera del Duero Tinto (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodega Sommos,Alquez,2019,9.9,4.0,España,2,"Ternera, Cordero, Aves, Pasta, Ciervo, Carne de venado",//images.vivino.com/thumbs/n1r0F3i0Qyu1nvrMZKRQWg_pb_x600.png,5,Garnacha (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Fillaboa,Albariño,2023,15.5,4.0,España,1,"Marisco, Vegetariana, Pasta, Aperitivos y tentempiés, Pescado blanco",//images.vivino.com/thumbs/7jBsEUFcReeCC5VFVEbFlQ_pb_x600.png,4,Albariño (España),13.5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Arnaud Baillot,La Montagne Bourgogne,2022,23.5,4.0,Francia,2,"Ternera, Ternera lechal, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/gKBoZPdkTUiys02cXieRJA_pb_x600.png,5,Borgoña Tinto (Francia),13.91,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Raimat,Turons de la Pleta,2021,15.75,4.0,España,1,"Cerdo, Vegetariana, Aves, Pescado azul",//images.vivino.com/thumbs/x8hM6Br4QbGXzrhdyn2OVw_pb_x600.png,4,Chardonnay (España),13.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Ossian,Quintaluna,2021,14.65,4.0,España,1,"Cerdo, Marisco, Vegetariana, Carne adobada",//images.vivino.com/thumbs/QOwF9imOSaSlOPvGxwQyxw_pb_x600.png,4,Verdejo (España),13.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Bodegas Bastida,Bomba Selección Especial Tempranillo,2023,9.15,4.0,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/zR4OxBmMTMCYfbldzju3Tw_pb_x600.png,4,Tempranillo (España),13.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Baron de Ley,Tres Viñas Blanco Reserva,2020,13.9,4.0,España,1,"Marisco, Aperitivos y tentempiés, Pescado blanco, Carne adobada",//images.vivino.com/thumbs/tkj47lNgTt2oBJ5xHSdKQg_pb_x600.png,4,Rioja Blanco (España),13.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
José Pariente,Sauvignon Blanc,2023,10.45,4.0,España,1,"Marisco, Vegetariana, Queso de leche de cabra",//images.vivino.com/thumbs/VHvvlb9LQQWZp0SZLAVqyQ_pb_x600.png,4,Sauvignon Blanc (España),13.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Dr. Loosen,Dr. L Riesling Dry,2023,8.73,4.0,Alemania,1,"Cerdo, Marisco, Aves, Comida picante, Carne adobada",//images.vivino.com/thumbs/DpZkor1lRR6htyiOL1ycbA_pb_x600.png,4,Riesling (Alemania),12.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
